Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
15/03/2018;0100;;;;;;;;;;;;;;;;;;
15/03/2018;0200;;;;;;;;;;;;;;;;;;
15/03/2018;0300;;;;;;;;;;;;;;;;;;
15/03/2018;0400;;;;;;;;;;;;;;;;;;
15/03/2018;0500;;;;;;;;;;;;;;;;;;
15/03/2018;0600;;;;;;;;;;;;;;;;;;
15/03/2018;0700;;;;;;;;;;;;;;;;;;
15/03/2018;0800;;;;;;;;;;;;;;;;;;
15/03/2018;0900;;;;;;;;;;;;;;;;;;
15/03/2018;1000;;;;;;;;;;;;;;;;;;
15/03/2018;1100;;;;;;;;;;;;;;;;;;
15/03/2018;1200;;;;;;;;;;;;;;;;;;
15/03/2018;1300;;;;;;;;;;;;;;;;;;
15/03/2018;1400;;;;;;;;;;;;;;;;;;
15/03/2018;1500;;;;;;;;;;;;;;;;;;
15/03/2018;1600;;;;;;;;;;;;;;;;;;
15/03/2018;1700;;;;;;;;;;;;;;;;;;
15/03/2018;1800;;;;;;;;;;;;;;;;;;
15/03/2018;1900;;;;;;;;;;;;;;;;;;
15/03/2018;2000;25,5;26,5;25,5;75,0;76,0;64,0;20,8;21,4;19,1;926,8;926,8;926,5;3,1;67,0;7,3;1195,39;0,0;
15/03/2018;2100;23,3;25,5;23,3;83,0;85,0;75,0;20,3;21,3;20,3;927,4;927,4;926,8;2,8;41,0;5,9;194,12;0,0;
15/03/2018;2200;22,8;23,3;22,7;89,0;90,0;83,0;21,0;21,0;20,4;927,9;927,9;927,4;3,2;55,0;6,0;;0,0;
15/03/2018;2300;22,5;23,0;22,5;91,0;91,0;87,0;20,9;21,0;20,7;928,7;928,7;927,9;3,1;45,0;8,6;;0,0;
16/03/2018;0000;22,1;22,6;22,0;90,0;93,0;90,0;20,4;21,1;20,4;929,3;929,3;928,5;4,0;45,0;9,2;;0,0;
16/03/2018;0100;21,8;22,1;21,7;92,0;92,0;89,0;20,3;20,4;20,0;929,9;929,9;929,3;3,7;41,0;8,6;;0,0;
16/03/2018;0200;21,7;21,8;21,6;93,0;94,0;92,0;20,6;20,6;20,4;929,9;930,0;929,8;2,5;46,0;7,7;;0,0;
16/03/2018;0300;21,4;21,7;21,4;95,0;95,0;93,0;20,6;20,6;20,5;929,6;929,9;929,6;2,4;44,0;5,7;;0,0;
16/03/2018;0400;21,5;21,5;21,4;94,0;95,0;94,0;20,5;20,6;20,4;928,8;929,6;928,8;2,7;47,0;4,9;;0,0;
16/03/2018;0500;21,3;21,5;21,3;94,0;96,0;94,0;20,4;20,6;20,4;927,9;928,8;927,9;2,5;52,0;5,4;;0,0;
16/03/2018;0600;21,1;21,4;21,1;92,0;94,0;91,0;19,6;20,4;19,6;927,8;928,0;927,7;1,7;78,0;5,8;;0,0;
16/03/2018;0700;20,5;21,1;20,5;92,0;93,0;91,0;19,2;19,6;19,2;927,9;927,9;927,8;2,0;90,0;4,4;;0,0;
16/03/2018;0800;20,1;20,5;20,0;93,0;94,0;92,0;18,9;19,2;18,8;927,9;927,9;927,7;1,6;74,0;3,8;;0,0;
16/03/2018;0900;20,2;20,4;20,1;92,0;93,0;92,0;18,9;19,1;18,8;928,2;928,2;927,8;1,8;68,0;4,2;3,53;0,0;
16/03/2018;1000;21,6;21,6;20,2;88,0;92,0;87,0;19,5;19,6;18,9;928,7;928,7;928,2;3,8;95,0;5,9;491,89;0,0;
16/03/2018;1100;23,0;23,0;21,6;77,0;88,0;77,0;18,8;19,7;18,7;929,2;929,2;928,7;5,8;97,0;8,4;1458,21;0,0;
16/03/2018;1200;24,5;24,5;23,0;71,0;77,0;68,0;18,9;18,9;17,7;929,5;929,6;929,1;6,1;83,0;11,1;2364,27;0,0;
16/03/2018;1300;25,0;25,3;24,2;72,0;73,0;68,0;19,6;19,8;18,3;929,7;929,7;929,5;6,5;104,0;9,7;3121,28;0,0;
16/03/2018;1400;26,5;26,5;24,9;71,0;75,0;69,0;20,7;21,0;19,5;929,4;929,7;929,4;5,1;95,0;9,6;3725,15;0,0;
16/03/2018;1500;26,0;26,8;25,6;70,0;74,0;65,0;20,1;20,9;19,6;929,0;929,4;929,0;3,7;117,0;8,1;3396,48;0,0;
16/03/2018;1600;26,8;27,5;25,7;65,0;71,0;62,0;19,6;20,6;18,9;928,0;929,0;928,0;3,5;129,0;8,5;3607,65;0,0;
16/03/2018;1700;27,5;27,9;26,4;58,0;67,0;58,0;18,6;20,4;18,6;927,1;928,0;927,1;3,2;135,0;5,9;3458,09;0,0;
16/03/2018;1800;27,6;28,0;27,3;58,0;63,0;57,0;18,6;20,1;18,2;926,4;927,1;926,4;3,9;95,0;7,5;2982,07;0,0;
16/03/2018;1900;27,6;28,0;27,2;51,0;64,0;50,0;16,5;20,1;16,5;926,2;926,4;926,2;4,9;97,0;7,5;2119,01;0,0;
16/03/2018;2000;26,3;27,8;26,0;61,0;64,0;51,0;18,3;19,3;16,6;926,2;926,2;926,1;3,6;86,0;7,2;912,24;0,0;
16/03/2018;2100;24,7;26,3;24,7;72,0;72,0;61,0;19,2;19,2;18,3;926,6;926,6;926,2;2,8;72,0;5,3;166,07;0,0;
16/03/2018;2200;23,1;24,8;23,1;82,0;82,0;72,0;19,9;20,2;19,2;926,9;926,9;926,5;1,6;51,0;4,2;;0,0;
16/03/2018;2300;22,9;23,2;22,6;92,0;94,0;82,0;21,5;21,8;19,9;927,6;927,6;926,9;1,6;28,0;4,6;;0,0;
17/03/2018;0000;21,9;22,9;21,9;88,0;93,0;88,0;19,9;21,6;19,8;928,3;928,3;927,6;3,4;43,0;7,3;;0,0;
17/03/2018;0100;21,8;21,9;21,8;89,0;89,0;88,0;19,9;20,0;19,8;928,7;928,7;928,3;3,7;40,0;7,0;;0,0;
17/03/2018;0200;21,7;21,9;21,6;88,0;90,0;88,0;19,7;19,9;19,7;928,5;928,8;928,5;5,3;51,0;9,4;;0,0;
17/03/2018;0300;21,7;21,8;21,6;87,0;90,0;86,0;19,5;20,0;19,4;928,3;928,5;928,3;2,9;46,0;9,4;;0,0;
17/03/2018;0400;21,5;21,8;21,4;87,0;88,0;85,0;19,3;19,7;18,9;927,6;928,3;927,6;4,6;50,0;8,0;;0,0;
17/03/2018;0500;21,2;21,6;21,1;89,0;90,0;86,0;19,4;19,4;18,9;927,1;927,6;927,0;3,8;44,0;8,4;;0,0;
17/03/2018;0600;21,1;21,4;21,1;87,0;90,0;87,0;18,9;19,5;18,9;927,0;927,1;926,9;3,3;53,0;8,4;;0,0;
17/03/2018;0700;21,2;21,2;21,0;87,0;89,0;86,0;19,0;19,1;18,6;927,1;927,1;927,0;3,3;50,0;7,2;;0,0;
17/03/2018;0800;21,0;21,2;20,9;90,0;90,0;87,0;19,3;19,3;18,8;927,4;927,4;927,0;3,4;55,0;7,3;;0,0;
17/03/2018;0900;21,0;21,2;21,0;90,0;90,0;87,0;19,3;19,3;19,0;927,7;927,7;927,4;3,8;62,0;7,0;4,81;0,0;
17/03/2018;1000;21,6;22,2;21,0;88,0;90,0;85,0;19,5;19,7;19,2;928,4;928,4;927,7;3,3;76,0;6,8;316,98;0,0;
17/03/2018;1100;23,5;23,5;21,6;80,0;88,0;80,0;19,9;19,9;19,3;929,0;929,0;928,4;3,8;96,0;6,6;1211,42;0,0;
17/03/2018;1200;24,0;24,8;23,1;73,0;81,0;71,0;19,0;20,1;19,0;929,2;929,2;929,0;3,4;72,0;6,8;1828,31;0,0;
17/03/2018;1300;25,4;25,5;24,0;73,0;76,0;67,0;20,1;20,1;18,3;929,1;929,3;929,1;4,7;70,0;8,5;3068,05;0,0;
17/03/2018;1400;25,6;26,2;24,8;68,0;75,0;67,0;19,4;20,6;19,1;928,8;929,2;928,7;3,8;79,0;8,1;3494,48;0,0;
17/03/2018;1500;26,3;26,9;25,6;68,0;70,0;63,0;19,9;20,6;18,6;928,3;928,8;928,3;4,0;79,0;7,3;3753,48;0,0;
17/03/2018;1600;26,9;27,4;25,7;63,0;69,0;61,0;19,2;20,6;18,4;927,3;928,3;927,3;4,7;90,0;8,2;3428,79;0,0;
17/03/2018;1700;27,4;28,1;26,7;63,0;63,0;55,0;19,6;20,1;18,1;926,4;927,3;926,4;3,9;101,0;8,2;3594,55;0,0;
17/03/2018;1800;27,3;27,9;26,5;58,0;65,0;56,0;18,3;20,1;17,6;925,8;926,4;925,8;3,4;122,0;7,7;2247,59;0,0;
17/03/2018;1900;27,8;28,1;26,8;56,0;61,0;53,0;18,2;19,4;17,4;925,4;925,8;925,4;2,2;138,0;5,6;1630,17;0,0;
17/03/2018;2000;25,3;27,8;25,3;67,0;67,0;56,0;18,8;18,9;17,8;925,2;925,4;925,2;3,6;77,0;5,4;594,38;0,0;
17/03/2018;2100;24,8;25,3;24,8;72,0;73,0;67,0;19,4;19,6;18,7;925,4;925,4;925,2;2,6;55,0;5,3;167,94;0,0;
17/03/2018;2200;23,1;24,9;23,1;88,0;88,0;71,0;21,0;21,0;19,2;925,9;925,9;925,4;1,1;5,0;4,1;;0,0;
17/03/2018;2300;22,5;23,1;22,5;93,0;93,0;88,0;21,2;21,5;21,1;926,3;926,4;925,9;2,0;25,0;4,7;;0,0;
18/03/2018;0000;22,2;22,6;22,2;94,0;94,0;92,0;21,1;21,4;21,1;927,0;927,0;926,3;1,3;18,0;4,7;;0,0;
18/03/2018;0100;22,1;22,4;22,1;90,0;94,0;90,0;20,4;21,2;20,4;927,4;927,4;927,0;3,1;45,0;6,2;;0,0;
18/03/2018;0200;21,4;22,1;21,4;90,0;91,0;88,0;19,7;20,5;19,7;927,4;927,8;927,4;1,3;21,0;6,3;;0,0;
18/03/2018;0300;20,7;21,4;20,6;91,0;91,0;90,0;19,2;19,7;19,1;927,0;927,4;927,0;1,3;65,0;3,9;;0,0;
18/03/2018;0400;21,1;21,2;20,7;90,0;92,0;90,0;19,5;19,5;19,2;926,4;927,0;926,4;4,3;47,0;7,3;;0,0;
18/03/2018;0500;21,2;21,2;20,9;90,0;92,0;90,0;19,5;19,6;19,3;926,2;926,4;926,1;3,5;47,0;7,3;;0,0;
18/03/2018;0600;21,0;21,3;21,0;89,0;90,0;88,0;19,2;19,5;19,1;925,8;926,2;925,8;3,2;43,0;7,3;;0,0;
18/03/2018;0700;21,0;21,1;21,0;89,0;89,0;86,0;19,1;19,2;18,6;925,8;925,9;925,6;2,9;43,0;7,3;;0,0;
18/03/2018;0800;21,2;21,2;21,0;90,0;90,0;89,0;19,4;19,5;19,1;926,0;926,1;925,8;2,6;43,0;7,1;;0,0;
18/03/2018;0900;21,3;21,3;21,2;89,0;91,0;89,0;19,5;19,7;19,4;926,5;926,5;926,0;2,6;49,0;4,8;2,32;0,0;
18/03/2018;1000;21,6;21,8;21,3;89,0;91,0;87,0;19,6;19,8;19,4;927,1;927,1;926,4;3,4;76,0;5,8;186,20;0,0;
18/03/2018;1100;22,5;23,0;21,6;83,0;89,0;80,0;19,5;19,9;19,2;927,8;927,9;927,0;3,5;74,0;5,4;884,68;0,0;
18/03/2018;1200;23,6;24,1;22,6;80,0;83,0;75,0;19,9;20,4;19,2;928,4;928,5;927,8;4,0;81,0;7,4;1890,84;0,0;
18/03/2018;1300;24,7;25,0;23,6;74,0;81,0;72,0;19,7;20,6;19,5;928,5;928,6;928,4;4,9;89,0;8,9;2613,06;0,0;
18/03/2018;1400;25,7;26,1;24,4;69,0;76,0;67,0;19,5;20,7;19,4;928,2;928,5;928,1;4,6;81,0;7,5;3253,79;0,0;
